epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,14.3762,1.08408,2.40671,1.06218,0.50935,0.04167,0.07183,0.04299,1.78407,3.76015,1.50834,9.29004e-05,9.29004e-05,9.29004e-05
95,14.51,0.98558,1.97578,1.04342,0.50935,0.04167,0.07183,0.04299,1.78407,3.76015,1.50834,9.37163e-05,9.37163e-05,9.37163e-05
96,14.6579,0.89129,2.10495,1.01131,0.52642,0.05186,0.07754,0.04559,1.77448,3.77883,1.53385,9.45283e-05,9.45283e-05,9.45283e-05
97,14.7915,0.9964,1.91499,1.0112,0.52642,0.05186,0.07754,0.04559,1.77448,3.77883,1.53385,9.53364e-05,9.53364e-05,9.53364e-05
98,14.9365,1.02571,1.77991,1.10989,0.52642,0.05186,0.07754,0.04559,1.77448,3.77883,1.53385,9.61407e-05,9.61407e-05,9.61407e-05
99,15.0719,0.91089,2.06929,1.06845,0.52642,0.05186,0.07754,0.04559,1.77448,3.77883,1.53385,9.6941e-05,9.6941e-05,9.6941e-05
100,15.3098,0.86582,2.0411,0.98274,0.527,0.05357,0.08179,0.04716,1.77031,3.71241,1.54641,9.77375e-05,9.77375e-05,9.77375e-05
101,15.4454,0.91777,2.26101,1.0387,0.527,0.05357,0.08179,0.04716,1.77031,3.71241,1.54641,9.853e-05,9.853e-05,9.853e-05
102,15.5811,0.93971,1.94119,0.99664,0.527,0.05357,0.08179,0.04716,1.77031,3.71241,1.54641,9.83353e-05,9.83353e-05,9.83353e-05
103,15.7197,1.0097,2.20903,1.06823,0.527,0.05357,0.08179,0.04716,1.77031,3.71241,1.54641,9.81406e-05,9.81406e-05,9.81406e-05
104,15.867,0.91381,1.95777,1.00516,0.52889,0.05625,0.08377,0.04829,1.77871,3.68637,1.56206,9.79459e-05,9.79459e-05,9.79459e-05
